技能ID,备注,阶段列表,阶段列表_远程
2071020,横扫千军1,"11000300,11000301,11000302,11000303,11000304","11000300,11000301,11000302,11000303,11000304"
2071021,横扫千军2,"11000310,11000311,11000312,11000313,11000314","11000310,11000311,11000312,11000313,11000314"
2071022,横扫千军3,"11000320,11000321,11000322,11000323,11000324","11000320,11000321,11000322,11000323,11000324"
2071023,横扫千军4,"11000330,11000331,11000332,11000333,11000334","11000330,11000331,11000332,11000333,11000334"
2071024,横扫千军虚弱休息,"11000340,11000341","11000340,11000341"
2071030,杨柳甘露复活,"16000300,16000301,16000302,16000303","16000300,16000301,16000302,16000303"
2071031,杨柳甘露加血,16000310,16000310
2071040,龙腾,"15000200,15000201,15000202,15000203","15000200,15000201,15000202,15000203"
2071050,幽冥鬼眼1,"14000500,14000501,14000502,14000503,14000504,14000505","14000500,14000501,14000502,14000503,14000504,14000505"
2071051,幽冥鬼眼2,"14000510,14000511,14000512","14000510,14000511,14000512"
2071052,幽冥鬼眼3,"14000520,14000521,14000522","14000520,14000521,14000522"
2071053,幽冥鬼眼4,"14000530,14000531,14000532","14000530,14000531,14000532"
2071054,幽冥鬼眼5,"14000540,14000541,14000542","14000540,14000541,14000542"
2071055,幽冥鬼眼6,"14000550,14000551,14000552","14000550,14000551,14000552"
2071060,狮搏,"19100200,19100201,19100202,19100203,19100204","19100200,19100201,19100202,19100203,19100204"
2071070,鹰击1,"19100100,19100101,19100102,19100103,19100104","19100100,19100101,19100102,19100103,19100104"
2071071,鹰击2,"19100110,19100111,19100112,19100113,19100114","19100110,19100111,19100112,19100113,19100114"
2071072,鹰击3,"19100120,19100121,19100122,19100123,19100124","19100120,19100121,19100122,19100123,19100124"
2071073,鹰击4,"19100130,19100131,19100132,19100133,19100134","19100130,19100131,19100132,19100133,19100134"
2071074,鹰击5,"19100140,19100141,19100142,19100143,19100144","19100140,19100141,19100142,19100143,19100144"
2071075,鹰击6,"19100150,19100151,19100152,19100153,19100154","19100150,19100151,19100152,19100153,19100154"
2071076,鹰击虚弱休息,"19100160,19100161","19100160,19100161"
2071800,连环击1,"19100500,19100501,19100502,19100503,19100504","19100500,19100501,19100502,19100503,19100504"
2071801,连环击2,"19100510,19100511,19100512,19100513,19100514","19100510,19100511,19100512,19100513,19100514"
2071802,连环击3,"19100520,19100521,19100522,19100523,19100524","19100520,19100521,19100522,19100523,19100524"
2071803,连环击4,"19100530,19100531,19100532,19100533,19100534","19100530,19100531,19100532,19100533,19100534"
2071804,连环击5,"19100540,19100541,19100542,19100543,19100544","19100540,19100541,19100542,19100543,19100544"
2071805,连环击6,"19100550,19100551,19100552,19100553,19100554","19100550,19100551,19100552,19100553,19100554"
2071840,灵心佑主,"20701500,20701501,20701502,20701503","20701500,20701501,20701502,20701503"
2071841,灵心佑主,"20701510,20701511","20701510,20701511"
2071842,灵心佑主,"20701520,20701521","20701520,20701521"
2071843,加血,20701530,20701530
2072180,天璇宝剑1,"18403910,18403911,18403912","18403910,18403911,18403912"
2072181,天璇宝剑2,"18403913,18403914","18403913,18403914"
2072182,天璇宝剑3,"18403915,18403916","18403915,18403916"
2072501,壁垒击破,"20700900,20700901,20700902,20700903,20700904","20700900,20700901,20700902,20700903,20700904"
2072502,灵魂禁锢,"20701400,20701401,20701402,20701403,20701404","20701400,20701401,20701402,20701403,20701404"
2072503,力劈华山,"20701300,20701301,20701302,20701303,20701304","20701300,20701301,20701302,20701303,20701304"
2072504,善恶有报,"42003211,42003212,42003213,42003214,42003215","42003211,42003212,42003213,42003214,42003215"
2073550,冰封万里,"18000000,18000001,18000003,18000004","18000000,18000001,18000003,18000004"
2073551,叱咤风云,"18000005,18000006,18000007,18000008,18000009","18000005,18000006,18000007,18000008,18000009"
2073560,蚩尤分身,"13000700,13000701,13000702,13000703,13000704","13000700,13000701,13000702,13000703,13000704"
2073561,蚩尤分身,"13000710,13000711","13000710,13000711"
2073562,蚩尤分身,"13000720,13000721","13000720,13000721"
2073563,蚩尤分身,"13000730,13000731","13000730,13000731"
2073564,蚩尤分身,"13000740,13000741","13000740,13000741"
2073570,五雷轰顶,"16100300,16100301,16100302","16100300,16100301,16100302"
2073580,岩浆喷发1,"18300100,18300101,18300102","18300100,18300101,18300102"
2073590,杀气诀,"20735900,20735901,20735902","20735900,20735901,20735902"
2073610,蓄力猛击之蓄力1,11000400,
2073611,蓄力猛击之蓄力2,"11000410,11000411,11000412",
2073620,定身符,"12000200,12000201,12000202,12000203","12000200,12000201,12000202,12000203"
2073630,杀气诀,"11000500,11000501,11000502,11000503",
2073680,推气过宫1,"42000200,42000201,42000202","42000200,42000201,42000202"
2073681,推气过宫2,"42000200,42000201,42000202","42000200,42000201,42000202"
2073700,复生复活,"16000300,16000301,16000302,16000303",
2073701,复生加血,16000310,
2073710,龙卷雨击1,"20700306,20700307,20700308","20700306,20700307,20700308"
2073711,龙卷雨击2,"20700306,20700307,20700308","20700306,20700307,20700308"
2073712,龙卷雨击3,"20700306,20700307,20700308","20700306,20700307,20700308"
2073713,龙卷雨击4,"20700306,20700307,20700308","20700306,20700307,20700308"
2073714,龙卷雨击5,"20700306,20700307,20700308","20700306,20700307,20700308"
2073715,龙卷雨击6,"20700306,20700307,20700308","20700306,20700307,20700308"
2073716,龙卷雨击7,"20700306,20700307,20700308","20700306,20700307,20700308"
2073720,龙腾,"15000200,15000201,15000202,15000203",
2073721,龙腾,"15000200,15000201,15000202,15000203",
2073770,推气过宫1,"42000200,42000201,42000202","42000200,42000201,42000202"
2073790,复生复活,"16000300,16000301,16000302,16000303",
2073791,复生加血,16000310,
2073800,壁垒击破,"20700900,20700901,20700902,20700903,20700904",
2073830,烟雨剑法1,"20738900,20738901,20738902,20738903,20738904",
2073831,烟雨剑法2,"20738100,20738101,20738102,20738103,20738104,20738105,20738106,20738107",
2073832,烟雨剑法3,"20738110,20738111,20738112,20738113,20738114,20738115",
2073833,烟雨剑法4,"20738120,20738121,20738122,20738123,20738124,20738125",
2073834,破釜沉舟5现身,20738140,
2073850,日月乾坤,"82100500,82100501,82100502,82100503,82100504,82100505","82100500,82100501,82100502,82100503,82100504,82100505"
2073860,当头一棒1,"18416000,18416001,18416002,18416003,18416004,18416005","18416000,18416001,18416002,18416003,18416004,18416005"
2073861,当头一棒2,"16900110,16900111,16900112","16900110,16900111,16900112"
2073890,飞沙走石1,"16100100,16100101,16100102,16100103,16100104","16100100,16100101,16100102,16100103,16100104"
2073891,飞沙走石2,"16100110,16100111,16100112","16100110,16100111,16100112"
2073892,飞沙走石3,"16100120,16100121,16100122","16100120,16100121,16100122"
2073893,飞沙走石4,"16100130,16100131,16100132","16100130,16100131,16100132"
2073894,飞沙走石5,"16100140,16100141,16100142","16100140,16100141,16100142"
2073920,斩业火1,"20739200,20739201,20739202,20739203","20739200,20739201,20739202,20739203"
2073921,斩业火2,"20739204,20739205","20739204,20739205"
2073922,斩业火3,"20739206,20739207","20739206,20739207"
2073923,斩业火4,"20739208,20739209","20739208,20739209"
2073950,极度疯狂,"20700900,20700901,20700902,20700903,20700904",
2073970,魔兽之力,"11000500,11000501,11000502,11000503",
2073980,修罗隐身,"14000400,14000401,14000402,14000403","14000400,14000401,14000402,14000403"
2073981,日月乾坤,"82100500,82100501,82100502,82100503,82100504,82100505","82100500,82100501,82100502,82100503,82100504,82100505"
2074010,勾魂1,"16900100,16900101,16900102,16900103","16900100,16900101,16900102,16900103"
2074011,勾魂2,"16900110,16900111,16900112","16900110,16900111,16900112"
2074030,小恶魔,"11000500,11000501,11000502,11000503",
2074040,蓄力猛击之冲锋,"11001100,11001101,11001102,11001103,11001104","11001100,11001101,11001102,11001103,11001104"
2074041,猛击完驱散蓄力,11001110,11001110
2173982,万物皆可解,"42001500,42001501,42001502,42001503","42001500,42001501,42001502,42001503"
2173983,万物皆可解2,"42001500,42001501,42001502,42001503","42001500,42001501,42001502,42001503"
2173984,万物皆可解3,"42001500,42001501,42001502,42001503","42001500,42001501,42001502,42001503"
2173985,普度众生1,"16000200,16000201,16000202","16000200,16000201,16000202"
2173986,普度众生2,"16000200,16000201,16000202","16000200,16000201,16000202"
2173987,普度众生3,"16000200,16000201,16000202","16000200,16000201,16000202"
2173988,灵动九天1,"16000400,16000401,16000402,16000403","16000400,16000401,16000402,16000403"
2173989,灵动九天2,"16000400,16000401,16000402,16000403","16000400,16000401,16000402,16000403"
2173990,灵动九天3,"16000400,16000401,16000402,16000403","16000400,16000401,16000402,16000403"
2173991,推气过宫1,"16300300,16300301,16300302","16300300,16300301,16300302"
2173992,推气过宫2,"16300300,16300301,16300302","16300300,16300301,16300302"
2173993,推气过宫3,"16300300,16300301,16300302","16300300,16300301,16300302"
2173994,金刚护体1,"16300400,16300401,16300402","16300400,16300401,16300402"
2173995,金刚护体2,"16300400,16300401,16300402","16300400,16300401,16300402"
2173996,金刚护体3,"16300400,16300401,16300402","16300400,16300401,16300402"
3000102,远古血脉,"18426200,18426201,18426202,18426203","18426200,18426201,18426202,18426203"
3000103,远古血脉2,"18426202,18426203","18426202,18426203"
3000104,远古血脉3,"18426202,18426203","18426202,18426203"
3000105,桃香,"18426300,18426301,18426302,18426303","18426300,18426301,18426302,18426303"
3000106,百里桃香,"18426350,18426351,18426352,18426353","18426350,18426351,18426352,18426353"
3000107,百里桃香冷却,18426304,18426304
3000108,急速,"18426400,18426401,18426402,18426403","18426400,18426401,18426402,18426403"
3000109,缩地成寸,"18426400,18426401,18426402,18426403","18426400,18426401,18426402,18426403"
3000110,缩地成寸冷却,18426304,18426304
3000111,窃魂夺魄,"18426500,18426501,18426502","18426500,18426501,18426502"
3000112,窃魂夺魄扣血,"18426504,18426505","18426504,18426505"
4200650,恶魔庇护,"42007000,42007001,42007002,42007003","42007000,42007001,42007002,42007003"
4200651,亡灵庇护,"42007100,42007101,42007102,42007103","42007100,42007101,42007102,42007103"
4200652,恶魔庇护,"42007200,42007201,42007202,42007203","42007200,42007201,42007202,42007203"
4200653,亡灵庇护,"42007300,42007301,42007302,42007303","42007300,42007301,42007302,42007303"
4200654,恶魔旋风,"42007400,42007401,42007402","42007400,42007401,42007402"
4200655,恶魔溶液,"42007500,42007501,42007502,42007503","42007500,42007501,42007502,42007503"
4200656,恶魔溶液,"42007500,42007501,42007502,42007503","42007500,42007501,42007502,42007503"
4200657,恶魔溶液,"42007500,42007501,42007502,42007503","42007500,42007501,42007502,42007503"
4200658,恶魔溶液,"42007500,42007501,42007502,42007503","42007500,42007501,42007502,42007503"
4200659,恶魔溶液,"42007500,42007501,42007502,42007503","42007500,42007501,42007502,42007503"
4200660,恶魔溶液,"42007500,42007501,42007502,42007503","42007500,42007501,42007502,42007503"
4200661,恶魔附体,"42008200,42008201,42008202,42008203","42008200,42008201,42008202,42008203"
4200662,上古封印,"42007600,42007601,42007602,42007603","42007600,42007601,42007602,42007603"
4200663,魔尊的威慑,"42007700,42007701,42007702,42007703","42007700,42007701,42007702,42007703"
4200664,岩浆喷发,"42007800,42007801,42007802,42007803","42007800,42007801,42007802,42007803"
4200665,上古三尸毒,"42008100,42008101,42008102,42008103","42008100,42008101,42008102,42008103"
4200666,斩魂,"42008000,42008001,42008002,42008003,42008004","42008000,42008001,42008002,42008003,42008004"
4200667,斩魂,"42008000,42008001,42008002,42008003,42008004","42008000,42008001,42008002,42008003,42008004"
4200668,斩魂,"42008000,42008001,42008002,42008003,42008004","42008000,42008001,42008002,42008003,42008004"
4200669,斩魂,"42008000,42008001,42008002,42008003,42008004","42008000,42008001,42008002,42008003,42008004"
4200670,斩魂,"42008000,42008001,42008002,42008003,42008004","42008000,42008001,42008002,42008003,42008004"
4200671,斩魂,"42008000,42008001,42008002,42008003,42008004","42008000,42008001,42008002,42008003,42008004"
4200672,斩魂,"42008000,42008001,42008002,42008003,42008004","42008000,42008001,42008002,42008003,42008004"
4200673,斩魂,"42008000,42008001,42008002,42008003,42008004","42008000,42008001,42008002,42008003,42008004"
4200674,斩魂,"42008000,42008001,42008002,42008003,42008004","42008000,42008001,42008002,42008003,42008004"
4200675,斩魂,"42008000,42008001,42008002,42008003,42008004","42008000,42008001,42008002,42008003,42008004"
4200676,斩魂,"42008000,42008001,42008002,42008003,42008004","42008000,42008001,42008002,42008003,42008004"
4200677,斩魂,"42008000,42008001,42008002,42008003,42008004","42008000,42008001,42008002,42008003,42008004"
4200678,斩魂,"42008000,42008001,42008002,42008003,42008004","42008000,42008001,42008002,42008003,42008004"
4200680,恶魔之吻,"42007900,42007901,42007902,42007903","42007900,42007901,42007902,42007903"
4300427,琴音三叠1,"20710000,20710001,20710002","20710000,20710001,20710002"
4300428,琴音三叠2,"20710000,20710001,20710002","20710000,20710001,20710002"
4300429,琴音三叠3,"20710000,20710001,20710002","20710000,20710001,20710002"
4300430,驱散咒1,"20710003,20710004,20710005,20710006","20710003,20710004,20710005,20710006"
4300431,驱散咒2,"20710007,20710008,20710009","20710007,20710008,20710009"
4300432,驱散咒3,"20710010,20710011,20710012","20710010,20710011,20710012"
4300433,驱散咒4,"20710013,20710014,20710015","20710013,20710014,20710015"
4300434,驱散咒5,"20710016,20710017,20710018","20710016,20710017,20710018"
4300435,驱散咒6,"20710019,20710020,20710021","20710019,20710020,20710021"
4300436,驱散咒7,"20710022,20710023,20710024","20710022,20710023,20710024"
4300437,驱散咒8,"20710025,20710026,20710027","20710025,20710026,20710027"
4300438,驱散咒9,"20710028,20710029,20710030","20710028,20710029,20710030"
4300439,驱散咒10,"20710031,20710032,20710033","20710031,20710032,20710033"
4300440,驱散咒11,"20710034,20710035,20710036","20710034,20710035,20710036"
4300441,驱散咒12,"20710037,20710038,20710039","20710037,20710038,20710039"
4300442,驱散咒13,"20710040,20710041,20710042","20710040,20710041,20710042"
4300443,驱散咒14,"20710043,20710044,20710045","20710043,20710044,20710045"
4300444,聚精会神,"20710046,20710047,20710048,20710049","20710046,20710047,20710048,20710049"
4300445,凤羽怒涛,"20710050,20710051,20710052,20710053","20710050,20710051,20710052,20710053"
4300446,天定之国,"20710054,20710055,20710056","20710054,20710055,20710056"
4300447,天定之国,"20710057,20710058,20710059","20710057,20710058,20710059"
5200000,秒10,"25555555,25555556,25555557,25555558",
5200001,秒20,"25555555,25555556,25555557,25555558",
5200002,秒30,"25555555,25555556,25555557,25555558",
5200003,秒40,"25555555,25555556,25555557,25555558",
5200004,秒50,"25555555,25555556,25555557,25555558",
5200005,秒60,"25555555,25555556,25555557,25555558",
5200006,秒70,"25555555,25555556,25555557,25555558",
5200007,破灭山河,"42008100,42008101,42008102,42008103",
5200008,破灭山河虚弱休息,"11000350,11000351",
5200009,秒杀技能,"18405000,18405001,18405002,18405003",
5200010,定身符1,"12000200,12000201,12000202,12000203","12000200,12000201,12000202,12000203"
5200011,催眠符1,"12000300,12000301,12000302,12000303,12000304,12000305","12000300,12000301,12000302,12000303,12000304,12000305"
5200012,失心符1,"12000500,12000501,12000502,12000503","12000500,12000501,12000502,12000503"
5200013,日月乾坤,"82100500,82100501,82100502,82100503,82100504,82100505","82100500,82100501,82100502,82100503,82100504,82100505"
5200014,秒杀技能,"18405000,18405001,18405002,18405003",
5200015,兔子专属技能,"27777775,27777776,27777777,27777778",
5200016,怪物破釜沉舟1,"11000100,11000101,11000102,11000103,11000104,11000105,11000106,11000107","11000100,11000101,11000102,11000103,11000104,11000105,11000106,11000107"
5200017,怪物横扫千军1,"11000300,11000301,11000302,11000303,11000304","11000300,11000301,11000302,11000303,11000304"
5200018,怪物横扫千军2,"11000310,11000311,11000312,11000313,11000314","11000310,11000311,11000312,11000313,11000314"
5200019,怪物横扫千军3,"11000320,11000321,11000322,11000323,11000324","11000320,11000321,11000322,11000323,11000324"
5200020,怪物横扫千军4,"11000320,11000321,11000322,11000323,11000324","11000320,11000321,11000322,11000323,11000324"
5200021,怪物横扫千军5,"11000320,11000321,11000322,11000323,11000324","11000320,11000321,11000322,11000323,11000324"
5200022,怪物月光扶摇1,"16200100,16200101,16200102,16200103,16200104,16200105,16200106,16200107","16200100,16200101,16200102,16200103,16200104,16200105,16200106,16200107"
5200023,怪物月光扶摇2,"16200110,16200111,16200112,16200113,16200114,16200115","16200110,16200111,16200112,16200113,16200114,16200115"
5200024,怪物月光扶摇3,"16200120,16200121,16200122,16200123,16200124,16200125","16200120,16200121,16200122,16200123,16200124,16200125"
5200025,怪物月光扶摇4,"16200120,16200121,16200122,16200123,16200124,16200125","16200120,16200121,16200122,16200123,16200124,16200125"
5200026,怪物月光扶摇5,"16200120,16200121,16200122,16200123,16200124,16200125","16200120,16200121,16200122,16200123,16200124,16200125"
5200027,怪物龙卷雨击,"20700306,20700307,20700308","20700306,20700307,20700308"
5200028,怪物飞沙走石,"16100100,16100101,16100102,16100103,16100104","16100100,16100101,16100102,16100103,16100104"
5200029,怪物迷心障1,"18405100,18405101,18405102,18405103","18405100,18405101,18405102,18405103"
5200030,怪物迷心障2,"18405110,18405111,18405112,18405113","18405110,18405111,18405112,18405113"
5200031,怪物一念成佛1,"18405270,18405271,18405272,18405273","18405270,18405271,18405272,18405273"
5200032,百分百冰冻,"16200100,16200101,16200102,16200103,16200104,16200105,16200106,16200107","16200100,16200101,16200102,16200103,16200104,16200105,16200106,16200107"
5200033,百分百灼热,"20700100,20700101,20700102,20700103","20700100,20700101,20700102,20700103"
5200034,百分百雷电攻击,"20700400,20700401,20700402","20700400,20700401,20700402"
5200035,百分百增法术防御,"42003000,42003001,42003002,42003003","42003000,42003001,42003002,42003003"
5200044,物理观照,"18420700,18420701,18420702,18420703,18420704","18420700,18420701,18420702,18420703,18420704"
5200045,法术观照,"18421204,18421205,18421206,18421207","18421204,18421205,18421206,18421207"
5200046,辅助观照1,"16300300,16300301,16300302","16300300,16300301,16300302"
5200047,辅助观照2,"16000200,16000201,16000202","16000200,16000201,16000202"
5200048,封系观照1,"12000500,12000501,12000502,12000503","12000500,12000501,12000502,12000503"
5200049,加强版物理观照,"18420700,18420701,18420702,18420703,18420704","18420700,18420701,18420702,18420703,18420704"
5200050,亢龙有悔2,"18420700,18420701,18420702,18420703,18420704","18420700,18420701,18420702,18420703,18420704"
5200051,加强版法术观照,"18421204,18421205,18421206,18421207","18421204,18421205,18421206,18421207"
5200052,加强版法术观照,"18421204,18421205,18421206,18421207","18421204,18421205,18421206,18421207"
5200053,加强版辅助观照1,"16300300,16300301,16300302","16300300,16300301,16300302"
5200054,加强版辅助观照2,"16000200,16000201,16000202","16000200,16000201,16000202"
5200055,加强版封系观照1,"12000500,12000501,12000502,12000503","12000500,12000501,12000502,12000503"
5200056,加强版封系观照1,"12000500,12000501,12000502,12000503","12000500,12000501,12000502,12000503"
7110010,破釜沉舟1,"11000100,11000101,11000102,11000103,11000104,11000105,11000106,11000107","11000100,11000101,11000102,11000103,11000104,11000105,11000106,11000107"
7110011,破釜沉舟2,"11000110,11000111,11000112,11000113,11000114,11000115","11000110,11000111,11000112,11000113,11000114,11000115"
7110012,破釜沉舟3,"11000120,11000121,11000122,11000123,11000124,11000125","11000120,11000121,11000122,11000123,11000124,11000125"
7110013,破釜沉舟4,"11000130,11000131,11000132,11000133,11000134,11000135","11000130,11000131,11000132,11000133,11000134,11000135"
7110014,破釜沉舟5现身,11000140,11000140
7110020,嘲讽1,"11000200,11000201,11000202,11000203,11000204,11000205","11000200,11000201,11000202,11000203,11000204,11000205"
7110021,嘲讽回血,11100200,11100200
7110030,横扫千军1,"11000300,11000301,11000302,11000303,11000304","11000300,11000301,11000302,11000303,11000304"
7110031,横扫千军2,"11000310,11000311,11000312,11000313,11000314","11000310,11000311,11000312,11000313,11000314"
7110032,横扫千军3,"11000320,11000321,11000322,11000323,11000324","11000320,11000321,11000322,11000323,11000324"
7110033,横扫千军虚弱休息,"11000340,11000341","11000340,11000341"
7110034,横扫千军回血,11100300,11100300
7110040,后发制人1,11000400,11000400
7110041,后发制人2,"11000410,11000411,11000412","11000410,11000411,11000412"
7110060,破甲,"11000500,11000501,11000502,11000503,11000504","11000500,11000501,11000502,11000503,11000504"
7110061,破甲回血,11100400,11100400
7110070,蓄力猛击之冲锋,"11001100,11001101,11001102,11001103,11001104","11001100,11001101,11001102,11001103,11001104"
7110071,猛击完驱散蓄力,11001110,11001110
7110072,蓄力猛击回血,11100500,11100500
7120010,破釜沉舟1,"11000100,11000101,11000102,11000103,11000104,11000105,11000106,11000107","11000100,11000101,11000102,11000103,11000104,11000105,11000106,11000107"
7120011,破釜沉舟2,"11000110,11000111,11000112,11000113,11000114,11000115","11000110,11000111,11000112,11000113,11000114,11000115"
7120012,破釜沉舟3,"11000120,11000121,11000122,11000123,11000124,11000125","11000120,11000121,11000122,11000123,11000124,11000125"
7120013,破釜沉舟4,"11000130,11000131,11000132,11000133,11000134,11000135","11000130,11000131,11000132,11000133,11000134,11000135"
7120014,破釜沉舟5现身,11000140,11000140
7120020,嘲讽1,"11000200,11000201,11000202,11000203,11000204,11000205","11000200,11000201,11000202,11000203,11000204,11000205"
7120030,横扫千军1,"11000300,11000301,11000302,11000303,11000304","11000300,11000301,11000302,11000303,11000304"
7120031,横扫千军2,"11000310,11000311,11000312,11000313,11000314","11000310,11000311,11000312,11000313,11000314"
7120032,横扫千军3,"11000320,11000321,11000322,11000323,11000324","11000320,11000321,11000322,11000323,11000324"
7120033,横扫千军4,"11000330,11000331,11000332,11000333,11000334","11000330,11000331,11000332,11000333,11000334"
7120034,横扫千军虚弱休息,"11000340,11000341","11000340,11000341"
7120040,后发制人1,11000400,11000400
7120041,后发制人2,"11000410,11000411,11000412","11000410,11000411,11000412"
7120060,破甲,"11000500,11000501,11000502,11000503,11000504","11000500,11000501,11000502,11000503,11000504"
7120070,蓄力猛击之冲锋,"11001100,11001101,11001102,11001103,11001104","11001100,11001101,11001102,11001103,11001104"
7120071,猛击完驱散蓄力,11001110,11001110
7130010,破釜沉舟1,"11000100,11000101,11000102,11000103,11000104,11000105,11000106,11000107","11000100,11000101,11000102,11000103,11000104,11000105,11000106,11000107"
7130011,破釜沉舟2,"11000110,11000111,11000112,11000113,11000114,11000115","11000110,11000111,11000112,11000113,11000114,11000115"
7130012,破釜沉舟3,"11000120,11000121,11000122,11000123,11000124,11000125","11000120,11000121,11000122,11000123,11000124,11000125"
7130013,破釜沉舟4,"11000130,11000131,11000132,11000133,11000134,11000135","11000130,11000131,11000132,11000133,11000134,11000135"
7130014,破釜沉舟5现身,11000140,11000140
7130020,嘲讽1,"11000200,11000201,11000202,11000203,11000204,11000205","11000200,11000201,11000202,11000203,11000204,11000205"
7130030,横扫千军1,"11000300,11000301,11000302,11000303,11000304","11000300,11000301,11000302,11000303,11000304"
7130031,横扫千军2,"11000310,11000311,11000312,11000313,11000314","11000310,11000311,11000312,11000313,11000314"
7130032,横扫千军3,"11000320,11000321,11000322,11000323,11000324","11000320,11000321,11000322,11000323,11000324"
7130033,横扫千军虚弱休息,"11000340,11000341","11000340,11000341"
7130040,后发制人1,11000400,11000400
7130041,后发制人2,"11000410,11000411,11000412","11000410,11000411,11000412"
7130060,破甲,"11000500,11000501,11000502,11000503,11000504","11000500,11000501,11000502,11000503,11000504"
7130070,蓄力猛击之冲锋,"11001100,11001101,11001102,11001103,11001104","11001100,11001101,11001102,11001103,11001104"
7130071,猛击完驱散蓄力,11001110,11001110
7140010,破釜沉舟1,"11000100,11000101,11000102,11000103,11000104,11000105,11000106,11000107","11000100,11000101,11000102,11000103,11000104,11000105,11000106,11000107"
7140011,破釜沉舟2,"11000110,11000111,11000112,11000113,11000114,11000115","11000110,11000111,11000112,11000113,11000114,11000115"
7140012,破釜沉舟3,"11000120,11000121,11000122,11000123,11000124,11000125","11000120,11000121,11000122,11000123,11000124,11000125"
7140013,破釜沉舟4,"11000130,11000131,11000132,11000133,11000134,11000135","11000130,11000131,11000132,11000133,11000134,11000135"
7140014,破釜沉舟5现身,11000140,11000140
7140020,嘲讽1,"11000200,11000201,11000202,11000203,11000204,11000205","11000200,11000201,11000202,11000203,11000204,11000205"
7140030,横扫千军1,"11000300,11000301,11000302,11000303,11000304","11000300,11000301,11000302,11000303,11000304"
7140031,横扫千军2,"11000310,11000311,11000312,11000313,11000314","11000310,11000311,11000312,11000313,11000314"
7140032,横扫千军3,"11000320,11000321,11000322,11000323,11000324","11000320,11000321,11000322,11000323,11000324"
7140033,横扫千军虚弱休息,"11000340,11000341","11000340,11000341"
7140040,后发制人1,11000400,11000400
7140041,后发制人2,"11000410,11000411,11000412","11000410,11000411,11000412"
7140060,破甲,"11000500,11000501,11000502,11000503,11000504","11000500,11000501,11000502,11000503,11000504"
7140070,蓄力猛击之冲锋,"11001100,11001101,11001102,11001103,11001104","11001100,11001101,11001102,11001103,11001104"
7140071,猛击完驱散蓄力,11001110,11001110
7210010,五雷咒1,"12000100,12000101,12000102,12000103","12000100,12000101,12000102,12000103"
7210011,五雷咒2,"12000110,12000111","12000110,12000111"
7210012,五雷咒3,"12000120,12000121","12000120,12000121"
7210013,五雷咒4,"12000130,12000131","12000130,12000131"
7210014,五雷咒5,"12000140,12000141","12000140,12000141"
7210015,五雷咒6,"12000150,12000151","12000150,12000151"
7210016,五雷咒净化首目标,12000160,12000160
7210020,定身符,"12000200,12000201,12000202,12000203,12000204,12000205","12000200,12000201,12000202,12000203,12000204,12000205"
7210021,定身符神圣伤害,"12000210,12000211,12000212","12000210,12000211,12000212"
7210030,催眠符1,"12000300,12000301,12000302,12000303,12000304,12000305,12000306","12000300,12000301,12000302,12000303,12000304,12000305,12000306"
7210031,催眠符2,"12000310,12000311,12000312","12000310,12000311,12000312"
7210032,催眠符3,"12000320,12000321,12000322","12000320,12000321,12000322"
7210033,催眠符4,"12000330,12000331,12000332","12000330,12000331,12000332"
7210040,离魂符,"12000400,12000401,12000402,12000403","12000400,12000401,12000402,12000403"
7210041,离魂符吸血,"12000410,12000411,12000412","12000410,12000411,12000412"
7210042,离魂符吸血,"12000420,12000421,12000422","12000420,12000421,12000422"
7210050,失心符1,"12000500,12000501,12000502,12000503","12000500,12000501,12000502,12000503"
7210051,失心符2,"12000510,12000511,12000512","12000510,12000511,12000512"
7210052,失心符3,"12000520,12000521,12000522","12000520,12000521,12000522"
7210053,失心符4,"12000530,12000531,12000532","12000530,12000531,12000532"
7210054,失心符5,"12000540,12000541,12000542","12000540,12000541,12000542"
7210055,失心符6,"12000550,12000551,12000552","12000550,12000551,12000552"
7210056,失心符7,"12000560,12000561,12000562","12000560,12000561,12000562"
7220010,五雷咒1,"12000100,12000101,12000102,12000103","12000100,12000101,12000102,12000103"
7220011,五雷咒2,"12000110,12000111","12000110,12000111"
7220012,五雷咒3,"12000120,12000121","12000120,12000121"
7220013,五雷咒4,"12000130,12000131","12000130,12000131"
7220014,五雷咒5,"12000140,12000141","12000140,12000141"
7220015,五雷咒6,"12000150,12000151","12000150,12000151"
7220016,五雷咒净化首目标,12000160,12000160
7220020,定身符,"12000200,12000201,12000202,12000203,12000204,12000205","12000200,12000201,12000202,12000203,12000204,12000205"
7220021,定身符神圣伤害,"12000210,12000211,12000212","12000210,12000211,12000212"
7220030,催眠符1,"12000300,12000301,12000302,12000303,12000304,12000305,12000306","12000300,12000301,12000302,12000303,12000304,12000305,12000306"
7220031,催眠符2,"12000310,12000311,12000312","12000310,12000311,12000312"
7220032,催眠符3,"12000320,12000321,12000322","12000320,12000321,12000322"
7220033,催眠符4,"12000330,12000331,12000332","12000330,12000331,12000332"
7220040,离魂符,"12000400,12000401,12000402,12000403","12000400,12000401,12000402,12000403"
7220041,离魂符吸血,"12000410,12000411,12000412","12000410,12000411,12000412"
7220042,离魂符吸血,"12000420,12000421,12000422","12000420,12000421,12000422"
7220050,失心符1,"12000500,12000501,12000502,12000503","12000500,12000501,12000502,12000503"
7220051,失心符2,"12000510,12000511,12000512","12000510,12000511,12000512"
