"技能id","技能名","技能定位","技能类型","图标编号","消耗1属性编号","消耗系数a1","消耗系数b1","显示消耗1","消耗2属性编号","消耗系数a2","消耗系数b2","显示消耗2","目标类型","战斗内外使用","魔法入口","技能剧情描述","技能描述","排序","技能描述1","技能描述2","技能描述3","技能描述4","技能描述5","技能描述6","技能描述7","技能升级描述","技能升级描述1","技能升级描述2","技能升级描述3","技能升级描述4","技能升级描述5","技能升级描述6","技能升级描述7","技能等级1","技能等级2","技能等级3","技能等级4","技能等级5","技能等级6","技能等级7"
"161007","飞星流火","飞星流火","魔王寨门派绝技，飞星流火，炎天炽地，以魔王之力摇天撼地，三界为之变色。","72","120","0","120","消耗：$parameter1$愤怒","-1","0","0","","480","1","","魔王寨门派绝技，飞星流火，炎天炽地，以魔王之力摇天撼地，三界为之变色。","召唤朱雀离火随机攻击敌人，使用后休息一回合。","8","召唤朱雀离火随机攻击敌人，使用后休息一回合。","召唤朱雀离火随机攻击敌人，使用后休息一回合。","召唤朱雀离火随机攻击敌人，使用后休息一回合。","召唤朱雀离火随机攻击敌人，使用后休息一回合。","召唤朱雀离火随机攻击敌人，使用后休息一回合。","召唤朱雀离火随机攻击敌人，使用后休息一回合。","召唤朱雀离火随机攻击敌人，使用后休息一回合。","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","1","2","3","4","5","6","7"
"161015","充沛","充沛","铜墙铁壁：增加人物物理防御","2476","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","9","充沛","充沛","充沛","充沛","充沛","充沛","充沛","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"161016","蚀天","蚀天","千里神行：增加人物速度","2477","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","10","蚀天","蚀天","蚀天","蚀天","蚀天","蚀天","蚀天","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"161017","火神","火神","坚若磐石：增加人物法术防御","2478","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","11","火神","火神","火神","火神","火神","火神","火神","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"161018","神焰","神焰","风驰霆击：增加人物物理暴击","2479","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","12","神焰","神焰","神焰","神焰","神焰","神焰","神焰","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"161019","咆哮","咆哮","救死扶伤：增加人物治疗强度","2480","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","13","咆哮","咆哮","咆哮","咆哮","咆哮","咆哮","咆哮","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"161020","威吓","威吓","道高魔重：增加人物法术抗暴","2481","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","14","威吓","威吓","威吓","威吓","威吓","威吓","威吓","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"161021","额外能力","额外能力","干将莫邪：增加人物物理伤害","2379","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","15","额外能力","额外能力","额外能力","额外能力","额外能力","额外能力","额外能力","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"161022","震怒","震怒","气血方刚：增加人物气血","2482","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","16","震怒","震怒","震怒","震怒","震怒","震怒","震怒","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"161023","邪火","邪火","铜墙铁壁：增加人物物理防御","2483","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","17","邪火","邪火","邪火","邪火","邪火","邪火","邪火","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"161024","震天","震天","道高魔重：增加人物法术抗暴","2484","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","18","震天","震天","震天","震天","震天","震天","震天","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"161025","崩摧","崩摧","风驱电击：增加人物法术暴击","2485","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","19","崩摧","崩摧","崩摧","崩摧","崩摧","崩摧","崩摧","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"161026","狂月","狂月","道高魔重：增加人物法术抗暴","2486","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","20","狂月","狂月","狂月","狂月","狂月","狂月","狂月","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"161027","连营","连营","杯弓蛇影：增加人物物理抗暴","2487","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","21","连营","连营","连营","连营","连营","连营","连营","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"161028","魔焰滔天","魔焰滔天","换斗移星：增加人物法术伤害","2488","-1","0","0","60点魔法","-1","0","0","","1","1","","奇经八脉","奇经八脉","22","魔焰滔天","魔焰滔天","魔焰滔天","魔焰滔天","魔焰滔天","魔焰滔天","魔焰滔天","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","1","2","3","4","5","6","7"
"161029","激怒","激怒","千里神行：增加人物速度","2489","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","23","激怒","激怒","激怒","激怒","激怒","激怒","激怒","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"161030","赤暖","赤暖","气血方刚：增加人物气血","2490","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","24","赤暖","赤暖","赤暖","赤暖","赤暖","赤暖","赤暖","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"161031","真炎","真炎","铜墙铁壁：增加人物物理防御","2491","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","25","真炎","真炎","真炎","真炎","真炎","真炎","真炎","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"161032","焚尽","焚尽","救死扶伤：增加人物治疗强度","2492","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","26","焚尽","焚尽","焚尽","焚尽","焚尽","焚尽","焚尽","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"161033","燃魂","燃魂","杯弓蛇影：增加人物物理抗暴","2493","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","27","燃魂","燃魂","燃魂","燃魂","燃魂","燃魂","燃魂","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"161034","魔心","魔心","气血方刚：增加人物气血","2494","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","28","魔心","魔心","魔心","魔心","魔心","魔心","魔心","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"161035","平天大圣","平天大圣","救死扶伤：增加人物治疗强度，挂金封印：增加人物封印命中","2380","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","29","平天大圣","平天大圣","平天大圣","平天大圣","平天大圣","平天大圣","平天大圣","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"162000","时之月","时之月","三五明月满，四五蟾兔缺。阴晴圆缺见天时","73","-1","0","0","无消耗","-1","0","0","","1","1","","三五明月满，四五蟾兔缺。阴晴圆缺见天时","月宫基础技能","1","月宫基础技能","月宫基础技能","月宫基础技能","月宫基础技能","月宫基础技能","月宫基础技能","月宫基础技能","永久增加角色的物理伤害","永久增加角色的物理伤害","永久增加角色的物理伤害","永久增加角色的物理伤害","永久增加角色的物理伤害","永久增加角色的物理伤害","永久增加角色的物理伤害","永久增加角色的物理伤害","1","200","200","200","200","200","200"
"162001","月影摇光","月影摇光","桂树摇影，皎皎有光。在光与影的切换中，攻其不备","74","100","1.2","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","桂树摇影，皎皎有光。在光与影的切换中，攻其不备","物理攻击多个目标，概率对目标进行冰冻。","2","物理攻击多个目标，概率对目标进行冰冻。","物理攻击多个目标，概率对目标进行冰冻。","物理攻击多个目标，概率对目标进行冰冻。","物理攻击多个目标，概率对目标进行冰冻。","物理攻击多个目标，概率对目标进行冰冻。","物理攻击多个目标，概率对目标进行冰冻。","物理攻击多个目标，概率对目标进行冰冻。","增加使用时的伤害，40级可攻击3个目标","增加使用时的伤害，70级可攻击4个目标，需在桂花醉状态下。","增加使用时的伤害，70级可攻击4个目标，需在桂花醉状态下。","增加使用时的伤害，70级可攻击4个目标，需在桂花醉状态下。","增加使用时的伤害，70级可攻击4个目标，需在桂花醉状态下。","增加使用时的伤害，70级可攻击4个目标，需在桂花醉状态下。","增加使用时的伤害，70级可攻击4个目标，需在桂花醉状态下。","增加使用时的伤害，70级可攻击4个目标，需在桂花醉状态下。","1","40","70","200","200","200","200"
"162002","碎玉击","碎玉击","万籟入沉冥，坐深观月明。决战清辉下，琅琅碎玉声","75","100","1.2","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","万籟入沉冥，坐深观月明。决战清辉下，琅琅碎玉声","物理攻击单个目标，如目标被击败，则对血量最低的单位进行月刃攻击。","3","物理攻击单个目标，如目标被击败，则对血量最低的单位进行月刃攻击。","物理攻击单个目标，如目标被击败，则对血量最低的单位进行月刃攻击。","物理攻击单个目标，如目标被击败，则对血量最低的单位进行月刃攻击。","物理攻击单个目标，如目标被击败，则对血量最低的单位进行月刃攻击。","物理攻击单个目标，如目标被击败，则对血量最低的单位进行月刃攻击。","物理攻击单个目标，如目标被击败，则对血量最低的单位进行月刃攻击。","物理攻击单个目标，如目标被击败，则对血量最低的单位进行月刃攻击。","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","1","200","200","200","200","200","200"
"162003","月刃","月刃","月光清若水，刃芒冷如霜。怀月刃而动，杀机显露","76","100","0","0","无消耗","-1","0","0","","480","1","","月光清若水，刃芒冷如霜。怀月刃而动，杀机显露","对单个目标进行2次物理攻击。降低目标物理伤害，持续3回合。","4","对单个目标进行2次物理攻击。降低目标物理伤害，持续3回合。","对单个目标进行2次物理攻击。降低目标物理伤害，持续3回合。","对单个目标进行2次物理攻击。降低目标物理伤害，持续3回合。","对单个目标进行2次物理攻击。降低目标物理伤害，持续3回合。","对单个目标进行2次物理攻击。降低目标物理伤害，持续3回合。","对单个目标进行2次物理攻击。降低目标物理伤害，持续3回合。","对单个目标进行2次物理攻击。降低目标物理伤害，持续3回合。","增加使用时的伤害，永久增加角色的速度","增加使用时的伤害，永久增加角色的速度","增加使用时的伤害，永久增加角色的速度","增加使用时的伤害，永久增加角色的速度","增加使用时的伤害，永久增加角色的速度","增加使用时的伤害，永久增加角色的速度","增加使用时的伤害，永久增加角色的速度","增加使用时的伤害，永久增加角色的速度","1","200","200","200","200","200","200"
"162004","桂花醉","桂花醉","夜凉如洗，冷露无声。倚树嗅桂酿，落花额上清寒","77","100","1.2","10","消耗：$parameter1$魔法","-1","0","0","","1","1","","夜凉如洗，冷露无声。倚树嗅桂酿，落花额上清寒","给自己施加一个持续5回合的状态，使月影摇光增加一个目标。","5","给自己施加一个持续5回合的状态，使月影摇光增加一个目标。","给自己施加一个持续5回合的状态，使月影摇光增加一个目标。","给自己施加一个持续5回合的状态，使月影摇光增加一个目标。","给自己施加一个持续5回合的状态，使月影摇光增加一个目标。","给自己施加一个持续5回合的状态，使月影摇光增加一个目标。","给自己施加一个持续5回合的状态，使月影摇光增加一个目标。","给自己施加一个持续5回合的状态，使月影摇光增加一个目标。","增加使用效果，永久增加角色的封印抵抗","增加使用效果，永久增加角色的封印抵抗","增加使用效果，永久增加角色的封印抵抗","增加使用效果，永久增加角色的封印抵抗","增加使用效果，永久增加角色的封印抵抗","增加使用效果，永久增加角色的封印抵抗","增加使用效果，永久增加角色的封印抵抗","增加使用效果，永久增加角色的封印抵抗","1","200","200","200","200","200","200"
"162005","月凝","月凝","广寒宫千年的寂寞结成了冰魄，冒险接近的人会被凝为冰块","78","100","1.2","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","广寒宫千年的寂寞结成了冰魄，冒险接近的人会被凝为冰块","冰冻一个敌方目标，使其无法执行任何动作,持续4回合。","6","冰冻一个敌方目标，使其无法执行任何动作,持续4回合。","冰冻一个敌方目标，使其无法执行任何动作,持续4回合。","冰冻一个敌方目标，使其无法执行任何动作,持续4回合。","冰冻一个敌方目标，使其无法执行任何动作,持续4回合。","冰冻一个敌方目标，使其无法执行任何动作,持续4回合。","冰冻一个敌方目标，使其无法执行任何动作,持续4回合。","冰冻一个敌方目标，使其无法执行任何动作,持续4回合。","增加使用时的伤害。永久增加角色的物理防御","增加使用时的伤害。永久增加角色的物理防御","增加使用时的伤害。永久增加角色的物理防御","增加使用时的伤害。永久增加角色的物理防御","增加使用时的伤害。永久增加角色的物理防御","增加使用时的伤害。永久增加角色的物理防御","增加使用时的伤害。永久增加角色的物理防御","增加使用时的伤害。永久增加角色的物理防御","1","200","200","200","200","200","200"
"162006","羽衣曲","羽衣曲","一首羽衣曲，闻者衣袂飘飘似要临风而去","79","-1","0.667","6","消耗：$parameter1$活力","-1","0","0","","1","1","","一首羽衣曲，闻者衣袂飘飘似要临风而去","制造一张临时符，可给衣服增加封印命中","7","制造一张临时符，可给衣服增加封印命中","制造一张临时符，可给衣服增加封印命中","制造一张临时符，可给衣服增加封印命中","制造一张临时符，可给衣服增加封印命中","制造一张临时符，可给衣服增加封印命中","制造一张临时符，可给衣服增加封印命中","制造一张临时符，可给衣服增加封印命中","增加临时符附加封印命中的效果","增加临时符附加封印命中的效果","增加临时符附加封印命中的效果","增加临时符附加封印命中的效果","增加临时符附加封印命中的效果","增加临时符附加封印命中的效果","增加临时符附加封印命中的效果","增加临时符附加封印命中的效果","1","200","200","200","200","200","200"
"162007","广寒清辉","广寒清辉","月宫门派绝技。在时之月的清辉中展露凛冽的身姿，如雪亮的刃芒直刺四方，不负广寒清秋","80","120","0","120","消耗：$parameter1$愤怒","-1","0","0","","480","1","","月宫门派绝技。在时之月的清辉中展露凛冽的身姿，如雪亮的刃芒直刺四方，不负广寒清秋","物理攻击7个敌方目标，有15%几率月凝目标。使用后休息一回合。","8","物理攻击7个敌方目标，有15%几率月凝目标。使用后休息一回合。","物理攻击7个敌方目标，有15%几率月凝目标。使用后休息一回合。","物理攻击7个敌方目标，有15%几率月凝目标。使用后休息一回合。","物理攻击7个敌方目标，有15%几率月凝目标。使用后休息一回合。","物理攻击7个敌方目标，有15%几率月凝目标。使用后休息一回合。","物理攻击7个敌方目标，有15%几率月凝目标。使用后休息一回合。","物理攻击7个敌方目标，有15%几率月凝目标。使用后休息一回合。","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","1","2","3","4","5","6","7"
"162012","威吓","威吓","铜墙铁壁：增加人物物理防御","2495","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","9","威吓","威吓","威吓","威吓","威吓","威吓","威吓","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"162013","趁虚","趁虚","千里神行：增加人物速度","2496","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","10","趁虚","趁虚","趁虚","趁虚","趁虚","趁虚","趁虚","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"162014","震慑","震慑","坚若磐石：增加人物法术防御","2497","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","11","震慑","震慑","震慑","震慑","震慑","震慑","震慑","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"162015","苏醒","苏醒","风驰霆击：增加人物物理暴击","2498","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","12","苏醒","苏醒","苏醒","苏醒","苏醒","苏醒","苏醒","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"162016","月桂","月桂","救死扶伤：增加人物治疗强度","2499","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","13","月桂","月桂","月桂","月桂","月桂","月桂","月桂","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"162017","神律","神律","道高魔重：增加人物法术抗暴","2500","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","14","神律","神律","神律","神律","神律","神律","神律","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"162018","额外能力","额外能力","干将莫邪：增加人物物理伤害","2379","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","15","额外能力","额外能力","额外能力","额外能力","额外能力","额外能力","额外能力","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"162019","疾雷","疾雷","气血方刚：增加人物气血","2501","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","16","疾雷","疾雷","疾雷","疾雷","疾雷","疾雷","疾雷","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"162020","余韵","余韵","铜墙铁壁：增加人物物理防御","2502","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","17","余韵","余韵","余韵","余韵","余韵","余韵","余韵","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"162021","神念","神念","道高魔重：增加人物法术抗暴","2503","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","18","神念","神念","神念","神念","神念","神念","神念","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"162022","护佑","护佑","风驱电击：增加人物法术暴击","2504","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","19","护佑","护佑","护佑","护佑","护佑","护佑","护佑","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"162023","怒火","怒火","道高魔重：增加人物法术抗暴","2505","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","20","怒火","怒火","怒火","怒火","怒火","怒火","怒火","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"162024","神尊","神尊","杯弓蛇影：增加人物物理抗暴","2506","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","21","神尊","神尊","神尊","神尊","神尊","神尊","神尊","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"162025","画地为牢","画地为牢","换斗移星：增加人物法术伤害","2507","-1","0","0","50点魔法","-1","0","0","","1","1","","奇经八脉","奇经八脉","22","画地为牢","画地为牢","画地为牢","画地为牢","画地为牢","画地为牢","画地为牢","【冷却】5回合","【冷却】5回合","【冷却】5回合","【冷却】5回合","【冷却】5回合","【冷却】5回合","【冷却】5回合","【冷却】5回合","1","2","3","4","5","6","7"
"162026","轰鸣","轰鸣","千里神行：增加人物速度","2508","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","23","轰鸣","轰鸣","轰鸣","轰鸣","轰鸣","轰鸣","轰鸣","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"162027","缭乱","缭乱","气血方刚：增加人物气血","2509","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","24","缭乱","缭乱","缭乱","缭乱","缭乱","缭乱","缭乱","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"162028","藏招","藏招","铜墙铁壁：增加人物物理防御","2510","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","25","藏招","藏招","藏招","藏招","藏招","藏招","藏招","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"162029","坚壁","坚壁","救死扶伤：增加人物治疗强度","2511","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","26","坚壁","坚壁","坚壁","坚壁","坚壁","坚壁","坚壁","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"162030","套索","套索","杯弓蛇影：增加人物物理抗暴","2512","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","27","套索","套索","套索","套索","套索","套索","套索","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"162031","洞察","洞察","气血方刚：增加人物气血","2513","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","28","洞察","洞察","洞察","洞察","洞察","洞察","洞察","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"162032","镇妖神使","镇妖神使","救死扶伤：增加人物治疗强度，挂金封印：增加人物封印命中","2380","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","29","镇妖神使","镇妖神使","镇妖神使","镇妖神使","镇妖神使","镇妖神使","镇妖神使","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"163000","法华经","法华经","领悟精研佛典，渐渐掌握其中的佛法神通","81","-1","0","0","无消耗","-1","0","0","","1","1","","领悟精研佛典，渐渐掌握其中的佛法神通","化生寺基础技能","1","化生寺基础技能","化生寺基础技能","化生寺基础技能","化生寺基础技能","化生寺基础技能","化生寺基础技能","化生寺基础技能","永久增加角色的气血上限","永久增加角色的气血上限","永久增加角色的气血上限","永久增加角色的气血上限","永久增加角色的气血上限","永久增加角色的气血上限","永久增加角色的气血上限","永久增加角色的气血上限","1","200","200","200","200","200","200"
"163001","唧唧歪歪","唧唧歪歪","佛家弟子大量诵读经书，见谁都想度化，不免会有些叨叨唠唠。","82","100","2","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","佛家弟子大量诵读经书，见谁都想度化，不免会有些叨叨唠唠。","法术攻击3个目标。当回合降低首目标的物理伤害。","2","法术攻击3个目标。当回合降低首目标的物理伤害。","法术攻击3个目标。当回合降低首目标的物理伤害。","法术攻击3个目标。当回合降低首目标的物理伤害。","法术攻击3个目标。当回合降低首目标的物理伤害。","法术攻击3个目标。当回合降低首目标的物理伤害。","法术攻击3个目标。当回合降低首目标的物理伤害。","法术攻击3个目标。当回合降低首目标的物理伤害。","增加使用时的伤害，60级可攻击4个目标。","增加使用时的伤害，70级可攻击5个目标。","增加使用时的伤害，70级可攻击5个目标。","增加使用时的伤害，70级可攻击5个目标。","增加使用时的伤害，70级可攻击5个目标。","增加使用时的伤害，70级可攻击5个目标。","增加使用时的伤害，70级可攻击5个目标。","增加使用时的伤害，70级可攻击5个目标。","1","60","70","90","200","200","200"
"163002","推气过宫","推气过宫","本着仁慈之心的化生寺弟子，为普众生，渡世人，尽心研习医疗之术。","83","100","2","10","消耗：$parameter1$魔法","-1","0","0","","4127","1","","本着仁慈之心的化生寺弟子，为普众生，渡世人，尽心研习医疗之术。","回复己方4个目标的气血，目标气血越低治疗量越高","3","回复己方4个目标的气血，目标气血越低治疗量越高","回复己方4个目标的气血，目标气血越低治疗量越高","回复己方4个目标的气血，目标气血越低治疗量越高","回复己方4个目标的气血，目标气血越低治疗量越高","回复己方4个目标的气血，目标气血越低治疗量越高","回复己方4个目标的气血，目标气血越低治疗量越高","回复己方4个目标的气血，目标气血越低治疗量越高","增加气血回复效果","增加气血回复效果","增加气血回复效果","增加气血回复效果","增加气血回复效果","增加气血回复效果","增加气血回复效果","增加气血回复效果","1","200","200","200","200","200","200"
"163003","金刚护法","金刚护法","信奉佛教的信徒，召唤护法金刚前来卫护","84","100","2","10","消耗：$parameter1$魔法","-1","0","0","","4127","1","","信奉佛教的信徒，召唤护法金刚前来卫护","增加己方4个目标的物理伤害，物理防御，持续5回合。","3","增加己方4个目标的物理伤害，物理防御，持续5回合。","增加己方4个目标的物理伤害，物理防御，持续5回合。","增加己方4个目标的物理伤害，物理防御，持续5回合。","增加己方4个目标的物理伤害，物理防御，持续5回合。","增加己方4个目标的物理伤害，物理防御，持续5回合。","增加己方4个目标的物理伤害，物理防御，持续5回合。","增加己方4个目标的物理伤害，物理防御，持续5回合。","增加物理防御","增加气血回复效果，永久增加角色的速度。","增加气血回复效果，永久增加角色的速度。","增加气血回复效果，永久增加角色的速度。","增加气血回复效果，永久增加角色的速度。","增加气血回复效果，永久增加角色的速度。","增加气血回复效果，永久增加角色的速度。","增加气血回复效果，永久增加角色的速度。","1","200","200","200","200","200","200"
"163004","我佛慈悲","我佛慈悲","大慈与一切众生乐，大悲拔一切众生苦。慈悲之要，全生为重","85","100","2","10","消耗：$parameter1$魔法","-1","0","0","","4127","1","","大慈与一切众生乐，大悲拔一切众生苦。慈悲之要，全生为重","复活倒地目标，鬼魂术除外。","5","复活倒地目标，鬼魂术除外。","复活倒地目标，鬼魂术除外。","复活倒地目标，鬼魂术除外。","复活倒地目标，鬼魂术除外。","复活倒地目标，鬼魂术除外。","复活倒地目标，鬼魂术除外。","复活倒地目标，鬼魂术除外。","增加防御和物理伤害","增加防御和物理伤害，永久增加角色的封印抵抗。","增加防御和物理伤害，永久增加角色的封印抵抗。","增加防御和物理伤害，永久增加角色的封印抵抗。","增加防御和物理伤害，永久增加角色的封印抵抗。","增加防御和物理伤害，永久增加角色的封印抵抗。","增加防御和物理伤害，永久增加角色的封印抵抗。","增加防御和物理伤害，永久增加角色的封印抵抗。","1","200","200","200","200","200","200"
"163005","一苇渡江","一苇渡江","身体轻如鸿毛，却有擎天之力，达摩祖师曾用此法渡江而去","86","100","2","10","消耗：$parameter1$魔法","-1","0","0","","4127","1","","禅宗祖师常对弟子突然一棒一喝，点醒其心中迷乱","提升3个友方目标的速度，持续5回合","4","提升3个友方目标的速度，持续5回合","提升3个友方目标的速度，持续5回合","提升3个友方目标的速度，持续5回合","提升3个友方目标的速度，持续5回合","提升3个友方目标的速度，持续5回合","提升3个友方目标的速度，持续5回合","提升3个友方目标的速度，持续5回合","提升技能效果,永久增加角色的速度","提升技能效果,永久增加角色的治疗强度。","提升技能效果,永久增加角色的治疗强度。","提升技能效果,永久增加角色的治疗强度。","提升技能效果,永久增加角色的治疗强度。","提升技能效果,永久增加角色的治疗强度。","提升技能效果,永久增加角色的治疗强度。","提升技能效果,永久增加角色的治疗强度。","1","200","200","200","200","200","200"
"163006","佛光普照","佛光普照","佛光注照，本命元辰，灾星退度福星临，九曜保长生","87","-1","0.667","6","消耗：$parameter1$活力","-1","0","0","","1","1","","佛光注照，本命元辰，灾星退度福星临，九曜保长生","制造一张临时符，可给武器增加治疗强度","7","制造一张临时符，可给武器增加治疗强度","制造一张临时符，可给武器增加治疗强度","制造一张临时符，可给武器增加治疗强度","制造一张临时符，可给武器增加治疗强度","制造一张临时符，可给武器增加治疗强度","制造一张临时符，可给武器增加治疗强度","制造一张临时符，可给武器增加治疗强度","增加临时符附加治疗强度的效果","增加临时符附加治疗强度的效果","增加临时符附加治疗强度的效果","增加临时符附加治疗强度的效果","增加临时符附加治疗强度的效果","增加临时符附加治疗强度的效果","增加临时符附加治疗强度的效果","增加临时符附加治疗强度的效果","1","200","200","200","200","200","200"
