寻找物品类id,寻找物品组,职业,等级段min,等级段max,回收物品,物品数量,售卖NPC,是否可传说,传说时间限制,传说发放物品,是否需求品质,品质系数,品质常数,是否调用特殊情况奖励,策划备注
265,23,0,51,55,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-22,,
266,23,0,56,60,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-23,,
267,23,0,61,65,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-24,,
268,23,0,66,70,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-25,,
269,23,0,71,75,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-26,,
270,23,0,76,80,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-27,,
271,23,0,81,85,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-28,,
272,23,0,86,90,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-29,,
273,23,0,91,95,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-30,,
274,23,0,96,100,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-31,,
275,23,0,101,105,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-32,,
276,23,0,106,110,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-33,,
277,23,0,111,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-34,,
278,24,0,15,39,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-15,,暗夜马戏团6级品质烹饪
279,24,0,40,45,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-20,,
280,24,0,46,50,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-21,,
281,24,0,51,55,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-22,,
282,24,0,56,60,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-23,,
283,24,0,61,65,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-24,,
284,24,0,66,70,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-25,,
285,24,0,71,75,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-26,,
286,24,0,76,80,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-27,,
287,24,0,81,85,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-28,,
288,24,0,86,90,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-29,,
289,24,0,91,95,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-30,,
290,24,0,96,100,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-31,,
291,24,0,101,105,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-32,,
292,24,0,106,110,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-33,,
293,24,0,111,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-34,,
294,25,0,15,39,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-15,,暗夜马戏团7级品质烹饪
295,25,0,40,45,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-20,,
296,25,0,46,50,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-21,,
297,25,0,51,55,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-22,,
298,25,0,56,60,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-23,,
299,25,0,61,65,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-24,,
300,25,0,66,70,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-25,,
301,25,0,71,75,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-26,,
302,25,0,76,80,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-27,,
303,25,0,81,85,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-28,,
304,25,0,86,90,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-29,,
305,25,0,91,95,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-30,,
306,25,0,96,100,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-31,,
307,25,0,101,105,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-32,,
308,25,0,106,110,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-33,,
309,25,0,111,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-34,,
310,26,0,50,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,1级宝石
311,27,0,50,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,2级宝石
312,28,0,50,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,3级宝石
313,29,0,50,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,4级宝石
314,30,0,50,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,5级宝石
315,31,0,50,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,6级宝石
316,32,0,50,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,7级宝石
317,33,0,50,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,8级宝石
318,34,0,50,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,9级宝石
319,35,0,50,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,10级宝石
320,36,0,50,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,玫瑰花
321,37,0,50,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,金兰花
322,38,0,50,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,311024@100,0,0,0,,低级兽决
323,39,0,50,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,太阳井水
324,40,0,50,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,恢复剂，重生药剂
325,41,0,50,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,储备药剂
326,42,0,50,155,340159@100,1,290413,,,,0,0,0,,入场券
327,43,0,50,155,340159@100,1,290413,,,,0,0,0,,入场券
328,44,0,0,155,6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,161506,,,,0,0,0,,40级环装
329,45,0,0,155,6050101@30;6050102@30;6050103@30;6050104@30;6050105@30;6050106@30;6050107@30;6050108@30;6050109@30;6050110@30;6050111@30;6050112@30;6050113@30;6050114@30;6050115@30;6050116@30;6050117@30;6050220@30;6050221@30;6050322@30;6050323@30;6050424@30;6050525@30;6050626@30,1,161506,,,,0,0,0,,50级环装
330,46,0,0,155,254017@100,1,161506,,,,0,0,0,,镖银盒子-任务用
331,47,0,0,155,35001@8;35002@8;35003@8;35004@8;35005@8;35006@8;35007@8;35008@8;35009@8,1,161506,,,,0,0,0,,一级宝石-帮派用
332,48,0,0,155,341104@100,1,161506,,,,0,0,0,,40级精铁-帮派用
333,49,0,0,155,341105@100,1,161506,,,,0,0,0,,50级精铁-帮派用
334,50,0,0,155,6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,161506,,,,0,0,0,,40级环装-帮派用
335,51,0,0,155,6050101@30;6050102@30;6050103@30;6050104@30;6050105@30;6050106@30;6050107@30;6050108@30;6050109@30;6050110@30;6050111@30;6050112@30;6050113@30;6050114@30;6050115@30;6050116@30;6050117@30;6050220@30;6050221@30;6050322@30;6050323@30;6050424@30;6050525@30;6050626@30,1,161506,,,,0,0,0,,50级环装-帮派用
336,52,0,0,155,320001@8;320002@8;320003@8;320004@8;320005@8;320006@8;320007@8,1,161506,,,,0,0,0,,烹饪-无品质要求-帮派用
337,53,0,0,155,320100@8;320101@8;320102@8;320103@8;320104@8;320105@8,1,161506,,,,0,0,0,,药物-无品质要求-帮派用
338,54,0,50,59,6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,161506,,,,0,0,0,,40的环装
339,54,0,60,69,6050101@10;6050102@10;6050103@10;6050104@10;6050105@10;6050106@10;6050107@10;6050108@10;6050109@10;6050110@10;6050111@10;6050112@10;6050113@10;6050114@10;6050115@10;6050116@10;6050117@10;6050220@10;6050221@10;6050322@10;6050323@10;6050424@10;6050525@10;6050626@10;6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,161506,,,,0,0,0,,40-50环装
340,54,0,70,79,6060101@5;6060102@5;6060103@5;6060104@5;6060105@5;6060106@5;6060107@5;6060108@5;6060109@5;6060110@5;6060111@5;6060112@5;6060113@5;6060114@5;6060115@5;6060116@5;6060117@5;6060220@5;6060221@5;6060322@5;6060323@5;6060424@5;6060525@5;6060626@5;6050101@10;6050102@10;6050103@10;6050104@10;6050105@10;6050106@10;6050107@10;6050108@10;6050109@10;6050110@10;6050111@10;6050112@10;6050113@10;6050114@10;6050115@10;6050116@10;6050117@10;6050220@10;6050221@10;6050322@10;6050323@10;6050424@10;6050525@10;6050626@10;6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,161506,,,,0,0,0,,40-60环装
341,54,0,80,89,6070101@5;6070102@5;6070103@5;6070104@5;6070105@5;6070106@5;6070107@5;6070108@5;6070109@5;6070110@5;6070111@5;6070112@5;6070113@5;6070114@5;6070115@5;6070116@5;6070117@5;6070220@5;6070221@5;6070322@5;6070323@5;6070424@5;6070525@5;6070626@5;6060101@20;6060102@20;6060103@20;6060104@20;6060105@20;6060106@20;6060107@20;6060108@20;6060109@20;6060110@20;6060111@20;6060112@20;6060113@20;6060114@20;6060115@20;6060116@20;6060117@20;6060220@20;6060221@20;6060322@20;6060323@20;6060424@20;6060525@20;6060626@20;6050101@30;6050102@30;6050103@30;6050104@30;6050105@30;6050106@30;6050107@30;6050108@30;6050109@30;6050110@30;6050111@30;6050112@30;6050113@30;6050114@30;6050115@30;6050116@30;6050117@30;6050220@30;6050221@30;6050322@30;6050323@30;6050424@30;6050525@30;6050626@30,1,161506,,,,0,0,0,,50-70环装
342,54,0,90,99,6080101@3;6080102@3;6080103@3;6080104@3;6080105@3;6080106@3;6080107@3;6080108@3;6080109@3;6080110@3;6080111@3;6080112@3;6080113@3;6080114@3;6080115@3;6080116@3;6080117@3;6080220@3;6080221@3;6080322@3;6080323@3;6080424@3;6080525@3;6080626@3;6070101@10;6070102@10;6070103@10;6070104@10;6070105@10;6070106@10;6070107@10;6070108@10;6070109@10;6070110@10;6070111@10;6070112@10;6070113@10;6070114@10;6070115@10;6070116@10;6070117@10;6070220@10;6070221@10;6070322@10;6070323@10;6070424@10;6070525@10;6070626@10;6060101@30;6060102@30;6060103@30;6060104@30;6060105@30;6060106@30;6060107@30;6060108@30;6060109@30;6060110@30;6060111@30;6060112@30;6060113@30;6060114@30;6060115@30;6060116@30;6060117@30;6060220@30;6060221@30;6060322@30;6060323@30;6060424@30;6060525@30;6060626@30,1,161506,,,,0,0,0,,60-80环装
343,54,0,100,109,6090101@3;6090102@3;6090103@3;6090104@3;6090105@3;6090106@3;6090107@3;6090108@3;6090109@3;6090110@3;6090111@3;6090112@3;6090113@3;6090114@3;6090115@3;6090116@3;6090117@3;6090220@3;6090221@3;6090322@3;6090323@3;6090424@3;6090525@3;6090626@3;6080101@8;6080102@8;6080103@8;6080104@8;6080105@8;6080106@8;6080107@8;6080108@8;6080109@8;6080110@8;6080111@8;6080112@8;6080113@8;6080114@8;6080115@8;6080116@8;6080117@8;6080220@8;6080221@8;6080322@8;6080323@8;6080424@8;6080525@8;6080626@8;6070101@20;6070102@20;6070103@20;6070104@20;6070105@20;6070106@20;6070107@20;6070108@20;6070109@20;6070110@20;6070111@20;6070112@20;6070113@20;6070114@20;6070115@20;6070116@20;6070117@20;6070220@20;6070221@20;6070322@20;6070323@20;6070424@20;6070525@20;6070626@20;6060101@40;6060102@40;6060103@40;6060104@40;6060105@40;6060106@40;6060107@40;6060108@40;6060109@40;6060110@40;6060111@40;6060112@40;6060113@40;6060114@40;6060115@40;6060116@40;6060117@40;6060220@40;6060221@40;6060322@40;6060323@40;6060424@40;6060525@40;6060626@40,1,161506,,,,0,0,0,,60-90环装
344,54,0,110,119,6090101@5;6090102@5;6090103@5;6090104@5;6090105@5;6090106@5;6090107@5;6090108@5;6090109@5;6090110@5;6090111@5;6090112@5;6090113@5;6090114@5;6090115@5;6090116@5;6090117@5;6090220@5;6090221@5;6090322@5;6090323@5;6090424@5;6090525@5;6090626@5;6080101@15;6080102@15;6080103@15;6080104@15;6080105@15;6080106@15;6080107@15;6080108@15;6080109@15;6080110@15;6080111@15;6080112@15;6080113@15;6080114@15;6080115@15;6080116@15;6080117@15;6080220@15;6080221@15;6080322@15;6080323@15;6080424@15;6080525@15;6080626@15;6070101@30;6070102@30;6070103@30;6070104@30;6070105@30;6070106@30;6070107@30;6070108@30;6070109@30;6070110@30;6070111@30;6070112@30;6070113@30;6070114@30;6070115@30;6070116@30;6070117@30;6070220@30;6070221@30;6070322@30;6070323@30;6070424@30;6070525@30;6070626@30,1,161506,,,,0,0,0,,70-90环装
